FactualPrecision,FactualRecall,FactualF1,HallucinationRate,OmissionRate,Edit Distance (Correction)
1,0.125,0.22222222,0,0.875,0.901515152
1,0.3,0.46153846,0,0.7,0.842105263
1,0.5,0.66666667,0,1,1
1,1,1,0,0,0
1,0.5,0.66666667,0,1,1
1,0.28571429,0.44444444,0,0.714285714,0.692307692
1,1,1,0,1,1
1,0.5,0.66666667,0,0.5,1
0.66666667,0.28571429,0.4,0,0.571428571,0.857142857
1,0.13043478,0.23076923,0,0.826086957,0.877358491
1,0.33333333,0.5,0,0.666666667,0.722222222
1,0.5,0.66666667,0,0.5,0.333333333
0.66666667,1,0.8,0,0,0.1
0.75,0.1875,0.3,0.25,0.75,0.954545455
1,0.06,0.11320755,0,0.94,0.964
1,1,1,0,1,1
1,0.25,0.4,0,0.75,0.850746269
1,1,1,0,0.333333333,0.352941176
1,0.125,0.22222222,0,0.875,0.912280702
1,0.5,0.66666667,0,0.5,0.636363636
1,0.8,0.88888889,0,0.2,0.75
0.66666667,0.25,0.36363636,0,0.75,0.793103448
1,0.1,0.18181818,0,0.9,0.964912281
1,1,1,0,0,0.625
1,0.3,0.46153846,0,0.7,0.903614458
1,0.15384615,0.26666667,0,0.846153846,0.887323944
1,1,1,0,0,0
1,0.33333333,0.5,0,0.666666667,0.903225806
1,1,1,0,0.5,0.529411765
1,0.75,0.85714286,0,0.25,0.6
1,0.2,0.33333333,0,0.8,0.782608696
1,1,1,0,0,0
0.75,0.2,0.31578947,0.25,0.8,0.754385965
1,0.44444444,0.61538462,0,0.555555556,0.945454545
1,1,1,0,0,0.368421053
1,0.5,0.66666667,0,1,0
1,0.15384615,0.26666667,0,0.846153846,0.976744186
1,0.11111111,0.2,0,0.888888889,0.865853659
1,0.3,0.46153846,0,0.7,0.870967742
1,0.3,0.46153846,0,0.7,0.838235294
1,1,1,0,0,0
1,0.27272727,0.42857143,0,1,0.808510638
1,0.5,0.66666667,0,1,0
1,0.21052632,0.34782609,0,0.789473684,0.899082569
1,0.25,0.4,0,0.75,0.894736842
